JetPt1, JetEta1, JetPhi1, JetMass1, JetBTagger1, JetPt2, JetEta2, JetPhi2, JetMass2, JetBTagger2, JetPt3, JetEta3, JetPhi3, JetMass3, JetBTagger3, JetPt4, JetEta4, JetPhi4, JetMass4, JetBTagger4, JetPt5, JetEta5, JetPhi5, JetMass5, JetBTagger5, JetPt6, JetEta6, JetPhi6, JetMass6, JetBTagger6, ZZPt, ZZPhi, ZZEta, ZZMass, weight
78.9947 ,1.42252 ,1.89712 ,11.8551 ,0.0524482 ,55.3906 ,-0.408325 ,2.56309 ,8.20566 ,0.710677 ,38.8526 ,2.20054 ,2.05112 ,7.1935 ,-2 ,38.3736 ,0.33503 ,2.79484 ,8.5844 ,0.77145 ,32.997 ,1.42074 ,-0.948261 ,4.5061 ,0.152369 ,-999 ,-999 ,-999 ,-999 ,-999 ,242.807 ,-0.973854 ,0.228132 ,124.669 ,6.93891e-05
129.34 ,1.43126 ,-1.067 ,24.7024 ,0.916003 ,109.138 ,-1.38809 ,3.07025 ,14.9254 ,0.0160693 ,64.0132 ,-2.56356 ,-2.92341 ,6.65624 ,0.0886402 ,58.775 ,-2.3421 ,1.97738 ,8.5221 ,0.0155203 ,56.5108 ,1.41706 ,-0.460491 ,8.57095 ,0.0197563 ,48.0709 ,1.98056 ,-1.66317 ,6.5595 ,0.0421829 ,220.314 ,0.591747 ,0.882583 ,123.627 ,6.18737e-05
176.059 ,0.132144 ,0.386061 ,14.3365 ,0.439547 ,106.249 ,-0.64056 ,-1.4228 ,12.4651 ,0.0222145 ,45.9332 ,-0.575804 ,0.903522 ,8.91079 ,0.0147513 ,32.5335 ,0.652331 ,2.69798 ,7.1994 ,0.055328 ,31.7862 ,2.44502 ,2.92791 ,5.61329 ,0.187956 ,30.6384 ,2.03703 ,1.36865 ,7.04346 ,0.0303711 ,223.909 ,-3.03182 ,-0.316864 ,121.573 ,2.96091e-05
211.822 ,0.90131 ,0.884228 ,26.3189 ,0.0417585 ,165.73 ,1.00475 ,0.429918 ,20.1005 ,0.32035 ,140.481 ,1.231 ,1.27568 ,16.3116 ,0.0125191 ,88.3448 ,-1.94376 ,-1.78901 ,13.2554 ,0.992738 ,77.1365 ,-3.11442 ,-1.66664 ,13.1729 ,-2 ,41.5168 ,-0.838052 ,-1.5367 ,7.94292 ,0.0259048 ,344.132 ,2.82064 ,-0.340082 ,123.794 ,6.16754e-05
162.821 ,0.252067 ,0.531849 ,25.7517 ,0.158485 ,82.6747 ,1.09557 ,-0.2039 ,16.9326 ,0.944168 ,58.8956 ,-3.26504 ,2.06536 ,11.648 ,-2 ,48.1963 ,-0.431229 ,-0.903174 ,8.3108 ,0.0121216 ,40.3944 ,0.43656 ,1.22386 ,8.02956 ,0.0190527 ,32.0429 ,-0.222059 ,2.41257 ,6.21214 ,0.0324775 ,206.827 ,-2.46757 ,0.408596 ,118.066 ,7.84489e-05
192.981 ,2.69473 ,-1.04678 ,16.4356 ,0.249764 ,142.799 ,-0.807019 ,0.600142 ,27.1151 ,0.197032 ,134.458 ,-2.63109 ,2.32936 ,15.6365 ,0.101704 ,69.0485 ,0.406659 ,2.29691 ,7.66484 ,0.0230864 ,47.9579 ,-0.692666 ,-0.341619 ,11.5571 ,0.995037 ,-999 ,-999 ,-999 ,-999 ,-999 ,160.543 ,-2.81092 ,-0.424561 ,125.885 ,6.11551e-05
68.466 ,0.604473 ,-2.51531 ,11.8906 ,0.999051 ,54.7909 ,-0.50486 ,-0.666589 ,5.41166 ,0.0236988 ,52.4858 ,0.0281944 ,-1.78667 ,13.4028 ,0.985851 ,49.8241 ,1.47833 ,1.171 ,7.86159 ,0.0724279 ,39.0327 ,0.958147 ,2.89836 ,5.1013 ,0.109676 ,35.7321 ,-1.54161 ,-0.0183133 ,7.00631 ,0.0530038 ,64.8562 ,0.1485 ,1.62198 ,123.461 ,0.000105864
173.187 ,0.380233 ,-2.05437 ,19.0313 ,0.992239 ,129.359 ,-0.415244 ,2.03024 ,14.2929 ,0.0119513 ,71.7542 ,0.706203 ,-0.297798 ,7.55765 ,0.0934381 ,30.7357 ,0.465023 ,0.977952 ,4.22529 ,0.0164065 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,73.4668 ,3.01139 ,0.75907 ,135.042 ,6.26534e-05
128.221 ,0.709912 ,0.615946 ,15.9238 ,0.993214 ,97.6566 ,-1.635 ,1.5731 ,10.7347 ,0.0247817 ,64.7856 ,-1.11538 ,-2.98785 ,9.56752 ,0.0578339 ,35.7987 ,0.932091 ,2.29432 ,7.13944 ,0.0420707 ,35.6601 ,1.57795 ,-1.44177 ,5.01046 ,0.0132768 ,34.0911 ,-0.172449 ,-0.232067 ,8.5719 ,0.0739733 ,123.564 ,-1.41964 ,-0.67281 ,121.736 ,7.77536e-05
262.161 ,1.94686 ,1.12626 ,23.1608 ,0.429171 ,172.141 ,-0.912913 ,-1.08159 ,18.908 ,0.126539 ,160.666 ,1.15815 ,-0.853303 ,24.9151 ,0.0384159 ,96.4968 ,-0.382158 ,-1.25122 ,12.2438 ,0.0163555 ,43.4286 ,0.156899 ,-2.12984 ,7.31953 ,0.743292 ,40.6416 ,3.35513 ,-1.15537 ,7.59561 ,-2 ,264.481 ,3.07189 ,0.230146 ,124.667 ,6.55795e-05
255.697 ,0.537797 ,1.91992 ,24.7382 ,0.700208 ,149.932 ,-0.316653 ,-0.771278 ,14.5859 ,0.998894 ,144.849 ,0.20712 ,-0.389964 ,15.0124 ,0.0194328 ,62.0539 ,1.02052 ,2.19095 ,9.45997 ,0.0392971 ,30.3697 ,0.363833 ,0.98033 ,5.01753 ,0.0178781 ,-999 ,-999 ,-999 ,-999 ,-999 ,221.838 ,-2.24855 ,1.28388 ,122.877 ,6.45675e-05
108.945 ,-0.820647 ,-3.00043 ,13.9536 ,0.0126532 ,88.7528 ,1.59291 ,2.81649 ,9.7399 ,0.011947 ,59.55 ,-0.925795 ,-1.46881 ,8.74964 ,0.01786 ,47.6972 ,0.0437329 ,2.32496 ,8.44922 ,0.946831 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,-999 ,183.071 ,0.187174 ,1.21053 ,126.111 ,8.26138e-05
