LepPt[0],LepPt[1],LepPt[2],LepPt[3],LepPhi[0],LepPhi[1],LepPhi[2],LepPhi[3],LepEta[0],LepEta[1],LepEta[2],LepEta[3],JetPt1, JetEta1, JetPhi1, JetMass1, JetBTagger1, JetPt2, JetEta2, JetPhi2, JetMass2, JetBTagger2, ExtraLepPt1, ExtraLepPhi1, ExtraLepEta1, weight
58.5015,31.1279,14.7715,10.3256,1.83211,-1.71781,-1.38093,2.56072,-0.390145,-1.034,-1.23729,-1.551,96.0337,-1.54932,-1.96489,12.3761,0.786196,-999,-999,-999,-999,-999,94.6442,1.73145,-0.00787074,6.85467e-05
47.7003,36.9695,27.4846,10.2079,2.63563,-0.0199527,-2.29032,-1.43709,-0.23987,0.445072,-0.221054,-0.553758,273.076,-2.61924,-2.38389,19.7086,0.352879,139.531,2.03227,0.517049,12.6601,0.055825,92.7056,0.609846,-0.784527,2.64611e-05
69.5331,36.5557,5.39588,27.8583,-0.741568,1.55175,-2.16606,-0.519354,-0.644185,-0.969309,-0.826543,-1.51064,98.2228,-0.496585,2.60836,13.3218,0.729047,78.0787,-0.122611,1.68945,9.01359,0.998515,20.481,-0.854599,-1.22301,3.00962e-05
44.7855,68.6866,23.8759,8.12501,1.09951,-0.578801,-0.33931,2.29838,-1.40875,-0.921832,-1.12444,0.0342526,88.2245,-0.601883,2.69623,8.22599,0.991903,61.9378,1.43437,-1.94404,10.7839,0.0143572,148.408,-1.67646,-1.02999,5.44896e-05
111.368,34.2958,67.5253,62.69,0.689885,1.88544,0.848272,0.371483,0.0780228,-0.0359869,-0.404444,0.023114,147.176,1.56437,2.57237,22.4876,0.0362487,117.513,-0.150058,-0.393031,19.1521,0.781619,144.566,-2.42457,0.142291,1.45657e-05
60.6083,12.7,31.4687,14.3337,1.47048,3.10601,0.219372,-2.09247,-0.512148,-0.742247,-1.53711,-1.81933,61.8867,-1.21525,-1.56837,10.9193,0.0374652,-999,-999,-999,-999,-999,14.3253,0.778572,-1.47788,7.04513e-05
46.1276,80.4204,5.25271,35.7718,-0.157212,1.18351,0.755094,0.840227,0.0353392,0.824968,-1.21003,-0.028279,72.5899,0.101445,3.07961,11.3554,0.938866,66.0888,1.15623,-2.4092,10.2989,0.982993,15.6424,-0.18444,1.51009,3.84504e-05
73.647,27.9387,36.9468,24.05,-0.380791,-1.96824,-0.292584,-1.30889,-0.551995,-0.231604,-0.423488,-1.7121,73.6757,-0.695771,2.05858,9.89116,0.00758679,62.3985,-1.71131,2.31462,6.67319,0.0540484,14.2028,1.61834,1.24911,5.2375e-05
49.048,87.0994,23.2069,14.3726,0.596492,2.04142,1.37585,1.99318,-0.507931,-0.278071,0.0432463,-0.883664,189.786,-0.246097,-1.78823,20.8088,0.115459,55.222,0.975128,-0.480804,10.1409,0.659018,18.8469,1.67595,-0.997482,2.59766e-05
48.5151,22.6276,19.1576,23.9166,1.32026,-1.81732,0.561634,-0.0322827,0.631239,-0.972979,-0.124317,0.170748,216.996,-2.3589,1.4782,21.3386,0.0339768,92.0104,0.444004,-2.69005,13.7438,0.975118,249.342,-1.01035,0.022602,5.51687e-05
75.4547,49.4197,5.99709,43.9281,-2.37426,-1.29568,-0.863699,-2.28195,-1.29948,-0.440902,-0.188207,-1.58009,112.757,0.376531,0.640539,21.3941,0.720506,93.974,-0.31875,2.22937,13.1874,0.272592,11.5501,2.68283,-1.43939,2.58429e-05
32.7977,74.1831,5.96697,11.3202,-1.66251,2.74971,1.84338,-1.15946,0.351363,1.06991,-0.189818,0.677591,90.65,-2.18231,0.763983,10.4834,0.545708,52.4819,-0.744834,1.37275,9.36173,0.016559,38.6568,-2.15687,1.94475,5.32688e-05
24.4097,52.6556,12.0509,33.4408,1.33881,-0.97841,-2.82793,-0.918152,-1.08909,-0.0276372,-0.179793,-1.13401,91.6296,1.19075,0.13407,13.4851,0.331487,57.4512,-1.03028,1.8997,8.47472,0.99876,82.648,-2.6753,0.314315,1.66238e-05
45.0733,79.0799,19.0965,17.9987,-2.05891,-0.240347,-0.827895,-2.19589,-0.55019,-0.519724,-0.699285,-0.242947,46.5832,1.52292,0.949301,7.50863,0.608382,36.1395,0.462691,-2.5031,5.78805,0.998346,29.0017,1.92874,0.410671,5.66529e-05
40.6109,71.5634,26.0379,55.673,0.13353,-1.21107,-1.33861,-0.565176,-0.896187,-1.72472,-1.12204,-1.58776,241.42,-1.52469,2.299,21.2473,0.0274217,89.5074,-1.30296,-1.98059,11.5776,0.371705,51.9196,-0.827635,-0.652949,5.42021e-05
26.5623,31.866,12.2436,11.4449,-2.16185,0.293786,-2.38484,-1.62898,1.36226,-0.649632,0.580677,-0.960294,224.786,-2.77385,-1.25317,33.3097,-2,122.876,0.171399,1.29044,19.3477,0.113377,42.9702,0.383807,0.26554,6.06649e-05
213.252,14.3873,24.453,20.0383,1.19838,-0.538809,1.51261,1.03838,-0.584111,-0.0371807,0.0451127,-0.70115,185.823,-0.732617,-2.81058,17.8995,0.810659,114.573,1.62039,0.689714,14.5481,0.101989,20.6736,0.741507,0.374226,5.41614e-05
