JetPt1, JetEta1, JetPhi1, JetMass1, JetBTagger1, JetPt2, JetEta2, JetPhi2, JetMass2, JetBTagger2, JetPt3, JetEta3, JetPhi3, JetMass3, JetBTagger3, JetPt4, JetEta4, JetPhi4, JetMass4, JetBTagger4, ZZPt, ZZPhi, ZZEta, ZZMass, weight
89.6505,0.586553,1.6941,10.6704,0.948927,89.0284,0.152601,-2.96042,11.7736,0.391007,88.5694,0.558193,-0.910327,13.9522,0.9995,58.0408,0.0492574,2.75236,10.5174,0.0228798,93.8973,-0.368291,1.14404,125.518,3.07242e-05
239.26,-0.385126,-0.418213,17.4922,0.0127426,219.137,-0.753725,-0.80522,14.2948,0.777653,189.675,-1.61874,2.84608,24.044,0.0391323,162.221,-1.95901,2.12002,15.7808,0.0232628,106.508,1.99412,-0.635048,123.784,5.77749e-05
95.962,0.261967,-3.05923,21.2418,0.953748,58.8253,-0.55815,-1.15559,13.3389,0.263597,46.7628,-0.9881,1.42389,7.57519,0.0374207,38.4028,3.50914,0.0476093,7.16717,-2,28.4937,2.27077,-2.00483,120.493,5.24514e-05
180.992,0.462572,-2.80434,22.5877,0.999251,104.244,-0.256647,3.0852,16.4129,0.0175054,87.0425,-0.00788643,0.968933,5.89038,0.762955,84.314,1.27602,-2.2323,9.72597,0.0375606,204.394,-1.00318,1.03505,127.891,4.54546e-05
77.7291,-2.00732,1.80458,12.8921,0.949123,62.8929,-0.469576,1.75615,9.99694,0.0152002,41.8956,0.324659,-1.04793,7.09282,0.389801,40.3332,0.331449,2.96571,5.92248,0.588571,215.608,-1.70765,-0.307448,126.018,6.88046e-05
429.894,1.23099,-1.2359,87.501,0.114225,330.78,-0.364952,2.21523,47.5151,0.973173,104.44,1.12564,-1.72011,12.9792,0.0741467,91.3206,-0.853868,0.78203,17.4816,0.0202083,245.171,2.0224,-0.00910482,126.111,6.67682e-05
69.4254,1.46128,2.11565,14.3121,0.021769,61.5689,0.587877,2.59986,10.2866,0.0182053,43.5888,0.896007,-0.4061,8.01585,0.643979,34.4585,-0.505349,1.16705,8.79913,0.664788,68.8562,-1.23446,-0.335878,122.614,2.03127e-05
121.72,-0.353932,-0.608828,18.9397,0.016671,109.668,-1.72008,2.3477,14.9434,0.0227363,88.5764,0.802515,-0.350177,17.7909,0.799121,61.937,-0.0581345,3.03083,11.9091,0.0144677,60.5389,1.72073,0.703824,123.844,1.42717e-05
91.7215,-1.34474,-2.78352,19.2914,0.089573,79.4427,0.9067,2.95042,9.82602,0.0663185,64.1322,1.41132,1.85827,8.82432,0.0185951,43.1061,0.944367,-1.67239,7.84893,0.985496,141.727,0.199253,1.82535,126.344,5.3686e-05
187.754,1.48367,1.34911,14.8201,0.0140493,187.029,0.394217,-1.23185,17.2304,0.0198128,179.83,1.0632,-0.0089807,15.4655,0.962851,82.7433,0.254734,1.14939,13.0057,0.903359,300.537,-3.06236,0.970539,128.369,6.23337e-05
273.799,2.22941,-2.21762,23.7813,0.84595,212.932,1.04757,1.37688,13.051,0.013894,84.9265,2.16898,-1.19654,9.91415,0.0139166,64.6732,1.66544,-2.36859,9.48933,0.693653,186.528,0.618918,1.79034,125.391,5.14061e-05
181.692,-0.200067,1.71262,17.4326,0.963485,168.542,0.510363,-0.751692,25.5872,0.192811,118.804,0.599473,-1.53385,15.4837,0.041979,65.861,-0.348907,-1.37336,10.6103,0.450121,107.045,2.353,-1.76105,127.685,6.5595e-05
135.195,0.901346,2.18824,15.7931,0.0264071,71.0139,1.48283,-2.52758,9.15255,0.00963843,63.0286,-0.820591,0.986187,11.7321,0.122361,54.5972,2.58114,-1.57609,6.32238,0.180786,32.4686,-2.12445,1.46997,124.038,5.64627e-05
113.8,0.55539,2.81003,15.3706,0.929579,73.3878,1.63127,0.63194,12.1599,0.357372,61.9919,-2.82662,0.509461,14.0249,0.0855373,41.598,-0.563456,2.71365,7.0467,0.102338,92.9706,0.814217,0.760651,122.823,2.30734e-05
67.3341,-0.395112,-2.22342,10.9867,0.985006,64.3674,1.45787,1.41399,8.0591,0.530545,42.0862,-2.66055,-2.31092,8.76632,0.0813796,33.4113,0.349839,1.87987,5.60345,0.0263795,16.3079,-0.629078,1.23984,125.993,3.87456e-05
125.626,-0.733257,1.44572,16.2201,0.0287822,67.0878,0.153368,2.79363,9.79151,0.0162624,60.7968,-1.44415,-0.179856,14.9031,0.598674,58.1781,-0.448483,0.564427,14.5101,0.0339501,213.515,-1.73211,-0.488555,118.243,9.47653e-06
204.396,-0.578184,1.90529,26.8971,0.0238805,169.785,-0.340879,-0.546748,12.577,0.0162689,98.3534,0.294881,-1.56111,12.1547,0.974098,94.7053,-0.27922,1.3338,13.9775,0.018463,110.235,-2.56651,-0.0654862,122.911,4.59492e-05
171.391,-1.02892,-0.80243,21.9645,0.97407,93.7324,-0.429392,-2.9622,17.1434,0.925405,60.8185,-0.75683,2.13581,11.7349,0.544825,54.6214,-0.953309,-0.261145,7.16095,0.0358058,104.506,-0.716918,-0.0218921,123.464,1.78236e-05
102.19,1.01121,1.35855,11.1022,0.00987774,60.568,0.0678223,2.08483,15.7408,0.0339468,52.8287,-0.65206,2.45491,8.46668,0.9662,48.4111,-0.62926,-0.844782,8.29742,0.0197306,87.6668,-1.54523,-0.650707,121.892,4.49035e-05
194.664,1.95709,2.55162,21.3897,0.0350601,164.589,1.05327,-2.07505,17.9138,0.427991,74.8223,2.53265,1.48569,11.5041,-2,46.8411,0.00431843,-2.29867,8.25555,0.0109357,176.316,0.425132,0.744534,123.355,5.579e-05
85.1161,2.59271,1.55866,11.3717,0.22884,77.413,-1.35957,-1.38184,9.35173,0.423977,42.6014,-0.43469,1.31962,7.39179,0.0124122,40.1235,0.854718,0.450009,7.90035,0.109668,132.901,-2.45789,-1.09161,118.508,5.15407e-05
113.451,-0.16818,0.872973,27.3295,0.337983,106.356,-2.81648,1.79184,14.3476,0.327033,85.7196,-2.43411,2.78026,10.8817,0.0460072,82.2166,0.178872,-0.301122,14.8811,0.01888,163.493,-2.06423,0.166102,126.317,5.853e-05
171.736,1.04289,-3.0429,21.8403,0.415327,167.955,1.33248,-2.5093,22.3354,0.0250496,81.5678,0.567932,-1.77656,13.499,0.942925,80.5826,0.627164,1.79238,13.2673,0.0203984,332.089,0.355907,0.65406,124.522,5.34036e-05
128.738,-0.698993,0.5926,13.6356,0.00979933,122.907,-1.94164,-2.81266,19.0707,0.0258283,102.647,-1.29342,1.4043,13.6874,0.965715,80.3382,-1.56248,-1.5652,12.9553,0.920306,28.749,-0.985038,-1.66826,124.959,8.22023e-05
309.739,1.11605,-0.817887,51.607,0.240056,110.439,-0.505118,1.35498,13.6621,0.992473,77.8554,-1.90648,-2.64787,12.288,0.103864,77.2224,2.57181,1.52577,7.34903,0.0809326,216.896,2.60515,-0.0840813,133.649,3.53488e-05
988.337,-0.393152,0.750209,163.803,0.0680496,579.098,-0.48887,-2.20298,108.621,0.187501,179.202,-0.156583,-2.72327,31.07,0.0364587,62.1047,0.0758223,-1.91648,7.43296,0.0413455,294.481,-3.11548,-1.78601,125.037,4.53313e-05
137.185,0.38908,-1.52408,24.8967,0.992914,133.273,-0.0722513,2.05413,18.5999,0.312379,76.058,-0.418331,1.48022,12.4143,0.0142898,68.9364,0.625578,2.52626,16.3804,0.352245,183.511,0.578429,0.209389,124.703,6.09729e-05
111.758,0.5543,-2.60594,12.604,0.989699,69.744,0.302641,0.348032,7.24024,0.218639,49.9372,1.59997,-1.13935,6.95291,-2,31.4428,0.424804,0.874145,5.02957,0.0224099,40.2454,1.92584,1.12325,124.076,5.31561e-05
86.3108,-0.986439,2.82769,13.5011,0.0614863,74.267,0.443758,-1.1559,12.5386,0.0192083,53.7923,-0.0206604,0.523766,9.49139,0.960787,34.8095,-1.08352,-2.88905,7.76404,0.93683,61.4576,2.55854,1.07246,126.493,6.25159e-06
74.1009,-1.28321,-0.357878,10.4454,0.390224,61.1082,0.302689,-0.211961,10.8722,0.996133,40.0599,-0.218722,-2.70793,7.81914,0.922313,39.091,1.20014,-1.72084,8.77216,0.0377152,50.9789,-2.31421,-1.05372,127.87,4.48063e-05
76.9024,-3.66559,1.1437,14.4358,-2,74.912,1.32263,-2.45373,12.7932,0.035738,68.8739,-1.80318,0.732409,10.6655,0.941933,50.2882,-0.950378,-2.82244,6.91077,0.993051,45.4833,-0.837343,-2.0581,121.256,4.50387e-05
172.356,0.911675,-0.208821,13.9176,0.985897,79.4943,-0.328631,2.68359,10.6804,0.0868081,75.1189,0.434818,2.0067,12.6642,0.0151339,64.3624,1.21463,1.95383,9.39262,0.987881,175.591,-2.04809,1.43336,125.231,5.2456e-05
306.935,0.146744,0.889832,31.2465,0.828968,194.214,-0.240283,-2.50435,25.7024,0.671069,143.179,1.70656,0.621405,24.4673,0.0727628,87.9452,0.43966,-2.67189,18.8407,0.0349646,320.698,-1.87427,0.736064,122.079,7.95255e-05
124.562,-0.545307,-2.95055,12.3861,0.00982791,111.842,0.782635,0.409355,15.9155,0.153828,96.0006,1.16666,-1.71107,19.1189,0.33891,59.3217,1.15535,0.758049,9.70894,0.0102286,52.835,-2.46303,0.898314,116.457,5.97068e-05
255.916,1.76574,-3.0708,43.0776,0.104111,187.654,-0.848083,0.782302,14.9955,0.0293749,63.3622,-0.381284,-3.07031,10.839,0.173265,59.4675,0.318372,-1.91762,7.55538,0.0191028,274.74,-0.514121,-0.519037,124.339,5.55213e-05
173.846,-0.241935,1.50055,19.155,0.991118,49.3354,-0.374667,0.0829501,6.83009,0.495201,48.6949,-0.939587,1.9592,7.65404,0.0173091,30.944,2.69829,3.03081,6.86883,-2,206.079,-1.88682,-0.566052,124.821,5.32662e-05
